cell,time_on_rig,condition,response_type
E21123101,118.7166666666667,ESM winter cells,something
E21123102,201.75,ESM winter cells,something
E21123104,298.7166666666667,ESM winter cells,something
E22010301,84.31666666666672,ESM winter cells,something
E22010302,188.95000000000005,ESM winter cells,something
E22010303,224.7333333333333,ESM winter cells,something
E22010402,85.76666666666665,ESM winter cells,something
E22010403,159.13333333333344,ESM winter cells,something
E22010404,223.88333333333344,ESM winter cells,something
E22010405,235.5666666666666,ESM winter cells,something
E22010406,242.4000000000001,ESM winter cells,something
E22010501,69.2833333333333,ESM winter cells,something
E22010601,80.35000000000002,ESM winter cells,something
E22010603,173.63333333333333,ESM winter cells,something
E22010606,309.9833333333333,ESM winter cells,something
E22010701,102.73333333333336,ESM winter cells,something
E22010702,158.20000000000005,ESM winter cells,something
E22010703,176.91666666666674,ESM winter cells,something
E22011001,64.04999999999995,ESM winter cells,something
E22011002,177.61666666666656,ESM winter cells,something
E22011102,100.83333333333336,ESM winter cells,something
E22011202,181.4666666666667,ESM winter cells,something
E22011301,140.4333333333334,ESM winter cells,something
E22011302,218.38333333333344,ESM winter cells,something
E22011403,136.6833333333334,ESM winter cells,something
E22011404,161.9000000000001,ESM winter cells,something
E22011405,211.9333333333334,ESM winter cells,something
E22012005,189.4666666666667,ESM winter cells,something
E22012101,78.11666666666667,ESM winter cells,something
E22012102,157.89999999999998,ESM winter cells,something
